cluster_id,num_stocks,mean_return,median_return,win_rate,sharpe,volatility,skewness,num_samples
272,8,2.8677716,0.0,0.36618087714519204,0.02638921,108.67213,38.27872,14684
315,15,1.0009426,0.0,0.43295878381568387,0.015640788,63.995663,65.059746,42362
348,29,0.49347505,-0.0038685203,0.437582749053063,0.011040898,44.69519,93.17557,86859
397,31,0.4807114,0.0,0.4804394516974215,0.010882782,44.171738,94.2815,88929
41,55,0.3594604,0.0,0.4681891375088061,0.009422742,38.148174,109.17233,119236
152,42,0.24521329,0.0012152195,0.506126970600767,0.007809969,31.397472,132.65344,176025
299,79,0.23713532,0.0,0.4999150689585263,0.0076903473,30.835451,135.07135,182501
477,101,0.18279509,0.0,0.49274736334472563,0.0067762067,26.97602,154.39679,238465
35,62,0.16837636,0.0016695261,0.5081108924288087,0.006519314,25.827312,161.2685,260144
454,57,0.16492255,0.0017888546,0.5105553898376762,0.0064429725,25.597277,162.71797,264841
90,60,0.16484627,0.003659606,0.5260673103965501,0.006462266,25.50905,163.28145,266675
316,69,0.15983628,0.001208365,0.5062351759963913,0.0063616275,25.125061,165.77548,274892
255,91,0.14923382,0.0,0.4886395230040029,0.006189709,24.10999,172.75102,298535
79,117,0.1468777,-0.0020877123,0.46066520744532036,0.006145568,23.899776,174.26773,303815
222,87,0.14573765,0.0036205053,0.528604930011328,0.006078834,23.974606,173.73286,301906
362,82,0.13750459,0.0,0.4866814684901518,0.005919335,23.229736,179.30237,321582
321,77,0.13694948,0.0023115277,0.5147618958563208,0.0058885394,23.256952,179.0948,320826
148,69,0.13318776,0.0033922195,0.5222210922404149,0.0058459886,22.78276,182.82181,334322
322,97,0.12319724,0.002932787,0.5189599848221135,0.005639924,21.843777,190.67957,363687
311,81,0.12171977,0.0,0.4950904504077605,0.005631144,21.61546,192.68951,371419
267,77,0.11929949,0.00241369,0.5138833469001218,0.0055525866,21.48539,193.86238,375918
271,79,0.11901743,0.0027825832,0.5169992559742072,0.0055326116,21.51198,193.62395,374987
101,96,0.11819163,0.0,0.49578581149475537,0.005561914,21.250174,196.00282,384297
402,77,0.11238673,0.0041519403,0.5298314678952263,0.005374046,20.91287,199.17227,396779
34,86,0.11142248,0.0028637052,0.5171562588617039,0.0055335923,20.13565,205.87123,430222
382,97,0.10572146,0.0,0.4988934467974776,0.005274661,20.043272,207.80649,431972
