episode,return,portfolio_value,num_positions,avg_critic_loss,avg_actor_loss,avg_entropy,buffer_size
0,-0.09962911080455364,90319.51927891183,1,0.00806551118596242,0.05930490845016071,1.0505438532148088,428
1,-0.10629676484063649,89603.97201111366,1,0.006471007837293049,0.06600510900219282,1.0665939331054688,851
2,0.16693321999140842,117385.52385953852,1,0.005287323814506332,0.06426484857996305,1.0718425909678142,1286
3,0.21043514927210702,120889.82580723881,1,0.007095985130096475,0.07751743992169698,1.074633526802063,1732
4,0.07254086624996822,107101.86533379318,1,0.00644495909412702,0.08457761257886887,1.0832467794418335,2215
5,-0.13644527394411346,87030.60530820239,1,0.006520396385652324,0.08477259278297425,1.0693487962086996,2651
6,-0.19520754471531354,79918.52783224655,1,0.014752252555141846,0.0955889900525411,1.0684044043223062,3136
7,-0.21450983583720495,79087.7702302576,1,0.01245791013352573,0.11014505426088969,1.079747478167216,3581
8,-0.0638180655412198,93570.2602703064,1,0.018249763121517996,0.11794265160957972,1.075089971224467,4126
9,0.07636332182915045,107530.37774976995,1,0.02450496902068456,0.12661697467168173,1.083343211809794,4631
10,-0.09558317107159967,88972.18609730375,0,0.027506830791632336,0.11329414298137029,1.0776500940322875,5072
11,-0.020927825299916623,97791.7138212265,1,0.02278782439728578,0.12588085780541103,1.056716767946879,5511
12,0.0944678027367036,109227.25063468507,1,0.029410261691858373,0.13514352242151897,1.0841291983922323,6001
13,-0.12903665208111093,87703.7608809968,0,0.027719068030516308,0.12831726123889287,1.0775392452875774,6440
14,-0.014413522333403905,98454.77728616181,1,0.023511622093307476,0.13865036765734354,1.0868390719095866,6881
15,0.019864594949751645,101441.00319625327,1,0.02157170301458488,0.12022580256064733,1.0852040926615396,7306
16,0.4367061413434097,146042.9287129814,1,0.02308183703571558,0.13321504443883897,1.0860919555028279,7870
17,0.038125814541475955,103627.23610793857,1,0.02240197310845057,0.13390775322914122,1.0906095902125041,8302
18,-0.18289581830852758,82767.40178289214,1,0.023360781309505304,0.13648569087187448,1.0802789688110352,8733
19,0.0455262793086506,104483.818033792,1,0.02103731386208286,0.12390321791172028,1.0796932299931845,9200
20,0.0225674127881704,101979.29373386863,1,0.02347389589995146,0.12948247492313386,1.0933575789133707,9670
21,-0.04956427247058097,95083.86316435055,1,0.018655427296956382,0.13584607044855754,1.0913886070251464,10098
22,0.09789907265602053,109990.40804391738,1,0.017341753731792173,0.14437300115823745,1.0863045533498128,10541
23,-0.008931362997787011,98717.92511570298,1,0.016798079394114516,0.13425355305274328,1.086956803003947,10974
24,0.04994299256434308,104615.9206880345,1,0.018212853907607497,0.13602885156869887,1.078119444847107,11421
25,-0.10413541060247639,89906.26575366704,1,0.016223681927658617,0.12925162067015966,1.084501075744629,11866
26,0.028700223961700126,102863.09258924922,1,0.013926724003007014,0.13391862163941065,1.0798350969950359,12291
27,0.04864614113992961,104464.70027623497,1,0.019799564328665534,0.1365133414665858,1.0837203741073609,12727
28,0.12524500594250446,112644.99451408445,1,0.012864642209994297,0.14173550456762313,1.0899203538894653,13233
29,0.12399124671748826,112427.26213434314,1,0.015494425843159357,0.13789405723412831,1.0736711343129477,13685
30,0.019639392823014006,101796.46862035082,1,0.012660693082337578,0.13069317887226742,1.090925892194112,14096
31,-0.000889963391598087,99693.79507372345,1,0.014269557408988475,0.14069741368293762,1.0910038789113363,14526
32,-0.004531778128640693,99343.45159446888,1,0.013741844085355599,0.13415646602710088,1.0826168139775594,14957
33,0.0014289624757360354,100115.16393535651,1,0.011350369383580982,0.13250527083873748,1.086534841855367,15411
34,-0.06293359528237931,93681.0069461076,1,0.010387761401943862,0.13785225053628286,1.0880666017532348,15885
35,0.30544912291140236,133843.0987395826,1,0.009835118905175477,0.1419070656100909,1.0927302519480386,16390
36,-0.052012248467270164,94569.92719763116,1,0.0123720234609209,0.1337971344590187,1.0956041892369588,16822
37,-0.04570481995233637,95326.23921702456,1,0.007702652461982022,0.12910538067420324,1.0924590587615968,17285
38,0.015319006634083369,101389.17965882274,1,0.010416410413260262,0.13950433135032653,1.078910803794861,17747
39,-0.030450889455406756,95472.5922842257,1,0.010132848688711723,0.1264630988240242,1.0892179250717162,18192
40,0.05560514863479412,105415.78894655754,1,0.009206649113912136,0.13570238252480823,1.0905658801396687,18788
41,0.039207698072402056,103695.1910968504,1,0.008592942003936817,0.13132211913665134,1.092245634396871,19222
42,0.15422822322856278,116023.03292039406,1,0.0150619371367308,0.1426120271285375,1.0851736386617026,19659
43,0.05286298260448109,105279.46669669269,1,0.011342625968003025,0.13947267134984334,1.091994301478068,20105
44,0.04113375168465165,104066.30129356399,1,0.009276470914483071,0.15109398265679677,1.0944480260213216,20575
45,-0.01494169554334207,98399.42674993919,1,0.009681318781804293,0.15052275955677033,1.0837841669718424,21063
46,0.03126413854842283,102938.37640927098,1,0.013285503536462785,0.15421254833539327,1.0951801538467407,21612
47,-0.12848794222384616,86302.46105048011,1,0.006777925638016313,0.1436054488023122,1.0887949069341023,22061
48,0.021126642328315,102008.44885053181,1,0.011715710888771961,0.14883775115013123,1.0893022934595744,22548
