trailingPE,forwardPE,priceToBook,priceToSalesTrailing12Months,pegRatio,enterpriseToRevenue,enterpriseToEbitda,profitMargins,operatingMargins,grossMargins,ebitdaMargins,returnOnEquity,returnOnAssets,revenueGrowth,earningsGrowth,earningsQuarterlyGrowth,debtToEquity,currentRatio,quickRatio,totalCash,totalDebt,freeCashflow,operatingCashflow,trailingEps,forwardEps,bookValue,revenuePerShare,beta,fiftyTwoWeekHigh,fiftyTwoWeekLow,marketCap,dividendYield,payoutRatio,ticker
,-4.4473686,-3.1947072,15.5910845,,20.153,-11.317,0.0,-2.22461,0.67046,-1.78071,,,0.29,,,,1.079,0.938,28288000.0,95278000.0,,-21070000.0,-1.13,-0.38,-0.529,0.147,1.373,5.49,1.255,228939488.0,,0.0,SATL
,-29.818182,3.3950233,1.5554819,,3.365,39.049,-0.85363996,-0.04438,0.24519,0.08618,-0.97757006,-0.00638,-0.071,,,447.051,0.606,0.506,3914569984.0,31324286976.0,1109892864.0,371500992.0,-45.02,-2.75,24.153,53.083,1.033,88.0,14.9,23605858304.0,,0.0,SATS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SATX
,-1.8022599,1.8886915,,,,-0.693,0.0,0.0,0.0,0.0,-0.85438,-0.24798,,,,,2.267,2.225,106080000.0,0.0,18568876.0,-83769000.0,-2.22,-1.77,1.689,,-1.086,4.98,1.15,154102192.0,,0.0,SAVA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAVE
14.749999,7.5857143,0.65758514,1.978307,,3.438,7.2,0.16780001,0.29077998,0.58932996,0.47756,0.055809997,0.03276,-0.038,-0.288,-0.292,62.482,2.716,1.969,115246000.0,516276000.0,-72488496.0,98558000.0,0.36,0.7,8.075,2.64,1.058,5.54,3.02,543363776.0,3.77,0.5556,SB
23.876574,20.673937,-4.1025753,7.2428684,,12.503,19.21,0.30724,0.53851,0.75166,0.65086,,0.0896,0.097,-0.083,-0.084,,0.504,0.399,430305984.0,15028830208.0,205137504.0,1297472000.0,7.94,9.17,-46.21,25.943,0.861,245.16,185.13,20202213376.0,2.34,0.5421,SBAC
,12.112995,0.67146885,160.88403,,160.035,-4635.209,-0.078600004,9.675839,0.83322,-0.03453,-0.00068000006,-0.00018999999,11.299,,,,8.749,2.508,11128231.0,0.0,-4622130.0,-9671028.0,-14.55,,15.965,0.276,11.868,124.12,2.28,2108551040.0,,0.0,SBET
,-6.818182,0.53590566,3.7357855,,9.736,-0.661,0.0,-14.95974,-0.36523,0.0,,-0.62071997,,,,94.588,0.126,0.039,265667.0,6410755.0,420550.0,-5449252.0,-17.45,-0.22,2.799,0.554,-1.343,13.6,0.705,3826042.0,,0.0,SBEV
10.061612,11.926967,0.97807056,2.1089132,,1.935,,0.21593,0.31375998,0.0,0.0,0.1015,0.00947,0.15,0.829,0.719,,,,88626000.0,77588000.0,,21725000.0,2.11,1.78,21.706,9.832,0.237,24.48,17.1,133717744.0,2.92,0.2796,SBFG
0.2693032,0.0071571567,0.26935393,0.18796349,,-0.038,0.312,-0.16056,-0.05649,0.33008,-0.122159995,-0.24340999,-0.09867,0.116,,,3.532,4.205,2.024,9306438.0,854761.0,-6501533.0,-7126728.0,5.31,199.8,5.309,10.72,0.745,3.9,1.169,7015501.0,,0.0,SBFM
